date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:51	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%227cc40c199d128af6b01e74a28c5900b0%22	http://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css?ver=6.2	C:/Users/super/Desktop/fegno/fegno/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.minae48.css	(from https://www.fegno.com/)
16:40:51	82897/82897	---MCZ	200	added ('OK')	text/css	etag:W/%22636e2096-143d1%22	https://www.fegno.com/wp-content/plugins/gdpr-cookie-compliance/dist/styles/gdpr-main.css?ver=4.9.4	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/plugins/gdpr-cookie-compliance/dist/styles/gdpr-maincbf4.css	(from https://www.fegno.com/)
16:40:52	89815/89815	---MCZ	200	added ('OK')	application/javascript	etag:W/%22642489ec-15ed7%22	https://www.fegno.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.3	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-includes/js/jquery/jquery.mina767.js	(from https://www.fegno.com/)
16:40:52	13424/13424	---MCZ	200	added ('OK')	application/javascript	etag:W/%22642489ec-3470%22	https://www.fegno.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from https://www.fegno.com/)
16:40:52	38875/38875	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264082187-97db%22	https://www.fegno.com/wp-content/plugins/popup-builder/public/js/Popup.js?ver=4.1.14	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/plugins/popup-builder/public/js/Popup79ab.js	(from https://www.fegno.com/)
16:40:52	6010/6010	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264082187-177a%22	https://www.fegno.com/wp-content/plugins/popup-builder/public/js/PopupConfig.js?ver=4.1.14	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/plugins/popup-builder/public/js/PopupConfig79ab.js	(from https://www.fegno.com/)
16:40:52	79191/79191	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264082187-13557%22	https://www.fegno.com/wp-content/plugins/popup-builder/public/js/PopupBuilder.js?ver=4.1.14	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/plugins/popup-builder/public/js/PopupBuilder79ab.js	(from https://www.fegno.com/)
16:40:53	2402/2402	---MC-	200	added ('OK')	application/json	date:Tue,%2002%20May%202023%2011:10:52%20GMT	https://www.fegno.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.fegno.com%2F	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-json/oembed/1.0/embed6ec3.json	(from https://www.fegno.com/)
16:40:53	2474/2474	---MC-	200	added ('OK')	text/xml	date:Tue,%2002%20May%202023%2011:10:52%20GMT	https://www.fegno.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.fegno.com%2F&format=xml	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-json/oembed/1.0/embedcec2	(from https://www.fegno.com/)
16:40:53	109663/109663	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2002%20May%202023%2011:10:52%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/super/Desktop/fegno/fegno/connect.facebook.net/en_US/fbevents.js	(from https://www.fegno.com/)
16:40:53	1778/1778	---M--	200	added ('OK')	image/png	etag:%22636b70dd-6f2%22	https://www.fegno.com/wp-content/uploads/2022/03/fegno-40x40.png	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/03/fegno-40x40.png	(from https://www.fegno.com/)
16:40:54	1498/1498	---M--	200	added ('OK')	image/png	etag:%22624fd740-5da%22	https://www.fegno.com/wp-content/uploads/2022/03/fegno.png	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/03/fegno.png	(from https://www.fegno.com/)
16:40:54	574/574	---M--	200	added ('OK')	image/png	etag:%22636b6a59-23e%22	https://www.fegno.com/wp-content/uploads/2022/04/noun-next-1096296-Copy.png	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/04/noun-next-1096296-Copy.png	(from https://www.fegno.com/)
16:40:54	580/580	---M--	200	added ('OK')	image/png	etag:%22636b6a5c-244%22	https://www.fegno.com/wp-content/uploads/2022/04/noun-next-1096296.png	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/04/noun-next-1096296.png	(from https://www.fegno.com/)
16:40:57	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2002%20May%202023%2011:10:56%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/super/Desktop/fegno/fegno/www.googletagmanager.com/gtm.285445.delayed	(from https://www.fegno.com/)
16:40:57	186265/186265	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263b50c12-2d799%22	https://www.fegno.com/wp-content/plugins/official-facebook-pixel/js/openbridge_plugin.js	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/plugins/official-facebook-pixel/js/openbridge_plugin.js	(from https://www.fegno.com/)
16:40:57	2226/2226	---M--	200	added ('OK')	image/webp	etag:%2264351222-8b2%22	https://www.fegno.com/wp-content/uploads/2022/07/fegno-logo-black-150x43.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/07/fegno-logo-black-150x43.webp	(from https://www.fegno.com/)
16:40:57	145834/145834	---M--	200	added ('OK')	image/webp	etag:%22625fb570-239aa%22	https://www.fegno.com/wp-content/uploads/2022/04/world.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/04/world.webp	(from https://www.fegno.com/)
16:40:58	2/2	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20May%202023%2011:10:57%20GMT	https://www.fegno.com/contact-us	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/contact-us	(from https://www.fegno.com/)
16:40:58	92984/92984	---M--	200	added ('OK')	image/png	etag:%226364aaf2-16b38%22	https://www.fegno.com/wp-content/uploads/2022/11/top-software-development-company-in-kochi-fegno-2.png	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/11/top-software-development-company-in-kochi-fegno-2.png	(from https://www.fegno.com/)
16:40:58	12650/12650	---M--	200	added ('OK')	image/webp	etag:%22627dfd47-316a%22	https://www.fegno.com/wp-content/uploads/2022/05/abc-emporio-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/abc-emporio-logo.webp	(from https://www.fegno.com/)
16:40:58	5668/5668	---M--	200	added ('OK')	image/webp	etag:%2263635909-1624%22	https://www.fegno.com/wp-content/uploads/2022/09/New-Project-13.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/09/New-Project-13.webp	(from https://www.fegno.com/)
16:40:58	6332/6332	---M--	200	added ('OK')	image/webp	etag:%22634032c9-18bc%22	https://www.fegno.com/wp-content/uploads/2022/09/Double-horse-01.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/09/Double-horse-01.webp	(from https://www.fegno.com/)
16:40:59	5558/5558	---M--	200	added ('OK')	image/webp	etag:%22627dfd44-15b6%22	https://www.fegno.com/wp-content/uploads/2022/05/granitogres-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/granitogres-logo.webp	(from https://www.fegno.com/)
16:40:59	345572/345572	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20May%202023%2011:10:58%20GMT	https://www.fegno.com/about-us/	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/about-us/index.html	(from https://www.fegno.com/)
16:40:59	5288/5288	---M--	200	added ('OK')	image/webp	etag:%22627dfd45-14a8%22	https://www.fegno.com/wp-content/uploads/2022/05/rak-properties-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/rak-properties-logo.webp	(from https://www.fegno.com/)
16:40:59	11086/11086	---M--	200	added ('OK')	image/webp	etag:%22627dfd45-2b4e%22	https://www.fegno.com/wp-content/uploads/2022/05/masters-in-multiverse-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/masters-in-multiverse-logo.webp	(from https://www.fegno.com/)
16:40:59	7516/7516	---M--	200	added ('OK')	image/webp	etag:%22627e138e-1d5c%22	https://www.fegno.com/wp-content/uploads/2022/05/shopprix-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/shopprix-logo.webp	(from https://www.fegno.com/)
16:41:00	3224/3224	---M--	200	added ('OK')	image/webp	etag:%22627dfd46-c98%22	https://www.fegno.com/wp-content/uploads/2022/05/soulmate-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/soulmate-logo.webp	(from https://www.fegno.com/)
16:41:00	313108/313108	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20May%202023%2011:10:59%20GMT	https://www.fegno.com/solutions/web-development-company-in-kochi/	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/solutions/web-development-company-in-kochi/index.html	(from https://www.fegno.com/)
16:41:00	15076/15076	---M--	200	added ('OK')	image/webp	etag:%22627dfd46-3ae4%22	https://www.fegno.com/wp-content/uploads/2022/05/south-indian-trading-syndicate-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/south-indian-trading-syndicate-logo.webp	(from https://www.fegno.com/)
16:41:00	5076/5076	---M--	200	added ('OK')	image/webp	etag:%22627dfd46-13d4%22	https://www.fegno.com/wp-content/uploads/2022/05/sea-queen-hotel-logo.webp	C:/Users/super/Desktop/fegno/fegno/www.fegno.com/wp-content/uploads/2022/05/sea-queen-hotel-logo.webp	(from https://www.fegno.com/)
